rvmRadial,rvmPoly,svmRadial,svmPoly,gaussprRadial,gaussprPoly,nnet,knn,treebag,rf,cubist,pls,pcr,ens_greedy,ens_linear
0.840641885,0.78791613,0.74200465,0.84773013,0.784500979,0.831560271,0.706871247,0.850290701,0.77072337,0.883741927,0.90728213,0.728491506,0.682906212,0.886971753,0.880207022
0.563280441,0.781193704,0.630635223,0.791174788,0.672213738,0.771192253,0.523516311,0.626814165,0.809843368,0.859810256,0.844802247,0.832045716,0.88803175,0.834982958,0.851098709
0.709468335,0.707996583,0.681719633,0.773233478,0.801009964,0.741028119,0.60523366,0.528019901,0.866067489,0.885291596,0.777233672,0.671285934,0.695548884,0.833015866,0.737656459
0.136309493,0.534750556,0.699141291,0.687402426,0.621475462,0.601875504,0.602091964,0.550441442,0.62681232,0.749548967,0.548985384,0.473681264,0.529273559,0.684122252,0.713501459
0.58847903,0.6717391,0.834387686,0.844008725,0.852804705,0.870814486,0.72132284,0.735069754,0.719848243,0.83042962,0.756733081,0.71008526,0.682180673,0.895281256,0.72233796
0.533573968,0.61813651,0.690071739,0.65109134,0.674965532,0.695040789,0.796273583,0.593242439,0.469621342,0.539311207,0.644287961,0.684468835,0.614804988,0.724759025,0.617188069
0.470797246,0.277703856,0.374331828,0.327813758,0.478156117,0.353678487,0.360497064,0.63839136,0.441101198,0.324918083,0.298149099,0.3111799,0.463930503,0.372156526,0.42116366
0.346222941,0.420368362,0.384628961,0.422898568,0.344481544,0.397797537,0.109750479,0.355226664,0.576555245,0.549197908,0.410727747,0.334864137,0.339005927,0.364771168,0.351054682
0.238696869,0.572148756,0.810116683,0.427262072,0.825215253,0.760855319,0.860259156,0.62206785,0.546952617,0.638381197,0.643598077,0.693331959,0.652967341,0.646228046,0.641812054
0.264810532,0.636751889,0.776892338,0.479923967,0.75521831,0.517168511,0.632322646,0.706246452,0.676872558,0.67224833,0.310457618,0.489201914,0.621702862,0.561235725,0.528547392
0.412769449,0.423424099,0.372312949,0.357793128,0.371207049,0.420007731,0.305723101,0.299493284,0.348941557,0.320650733,0.471568816,0.363256181,0.329374493,0.39864403,0.369669441
0.341485256,0.257328263,0.3645734,0.280584373,0.271683541,0.332944092,0.175734038,0.231005883,0.040784296,0.102991174,0.211529858,0.107601554,0.160819912,0.243198285,0.303465101
0.318813836,0.561107907,0.719000578,0.640673715,0.624140781,0.611480409,0.572372441,0.605888115,0.628938439,0.588208112,0.649317033,0.37455998,0.381496212,0.598278666,0.598994296
0.089819062,0.732347784,0.021232273,0.763503664,0.026209255,0.759117729,0.719120457,0.534212164,0.64646291,0.73209599,0.733251357,0.749231937,0.792352563,0.787160837,0.783898636
0.140519682,0.425659485,0.274943955,0.573488803,0.41756695,0.397070325,0.184045279,0.600196156,0.449586374,0.500495469,0.547872129,0.258765284,0.355963648,0.5729436,0.439523536
0.655927908,0.699708373,0.663912413,0.756310362,0.844884544,0.748703241,0.58526074,0.565881042,0.865382394,0.831902874,0.855216478,0.82354052,0.804820056,0.858240518,0.752918721
0.029529425,0.729160297,0.380852633,0.775842953,0.35919056,0.791681145,0.831675539,0.787666043,0.795386396,0.831186586,0.754445286,0.678804453,0.721673086,0.802833608,0.774573067
0.543432699,0.510928571,0.479243704,0.500678665,0.521165315,0.499453318,0.307807866,0.23738331,0.707630021,0.614804998,0.4765749,0.519518413,0.512613002,0.488748087,0.480528319
0.015321995,0.102974225,0.131808042,0.16114782,0.059129565,0.109562237,0.027396326,0.107474465,0.06532316,0.0658739,0.054019733,0.046929471,0.081867351,0.140305683,0.074394041
0.676372779,0.672967967,0.782845004,0.493504952,0.835501756,0.812174472,0.574685483,0.639944064,0.660786793,0.806175996,0.775532807,0.704239192,0.62078445,0.77015186,0.780931969
0.74023943,0.447181561,0.476660311,0.568204508,0.595982945,0.612650246,0.480401813,0.645991472,0.502038004,0.437453702,0.512430792,0.493644472,0.534102611,0.567052539,0.526658964
0.711513472,0.746656125,0.831926362,0.699520816,0.823251157,0.720016567,0.702244792,0.697826727,0.624606362,0.753684818,0.728382112,0.634864823,0.721677547,0.754682552,0.759271336
0.01709398,0.833835083,0.336048738,0.86098571,0.295550336,0.884643273,0.592622742,0.483815614,0.74528824,0.759913585,0.844094722,0.812152803,0.759823875,0.872044952,0.865414799
0.235878935,0.66037936,0.49829137,0.373632405,0.541926247,0.588844399,0.617337891,0.590184328,0.477339836,0.575395508,0.539834548,0.476853933,0.623115248,0.644501287,0.576318435
0.384285447,0.427701731,0.333398561,0.286533514,0.402889665,0.353925075,0.3380552,0.432981109,0.4088022,0.410335217,0.432810372,0.393990374,0.295432429,0.367277032,0.390702613
0.495623489,0.112969119,0.028128565,0.03403764,0.155214632,0.014203456,0.183430915,0.235570351,0.253086567,0.247111242,0.170804543,0.251810998,0.300633118,0.147987263,0.175000537
0.427846654,0.794453381,0.710266928,0.857330818,0.681539123,0.855267553,0.783673148,0.644585955,0.734029601,0.835975928,0.885384338,0.795150651,0.782339373,0.857750422,0.880373487
0.323648441,0.52460936,0.321515087,0.485586924,0.5231208,0.428504844,0.134582387,0.425426794,0.395899977,0.490473954,0.392456005,0.575646058,0.532922113,0.498478341,0.364925148
0.354339759,0.367430003,0.33454455,0.389430402,0.468306281,0.368786849,0.357210465,0.288749499,0.36858888,0.319697072,0.359284799,0.33442668,0.290259024,0.411991305,0.327540154
0.327068425,0.45898659,0.621944428,0.554863965,0.5625204,0.561520103,0.400504189,0.571103108,0.622739759,0.65790063,0.595785177,0.424119003,0.437117106,0.605759957,0.628142417
0.622806342,0.794118793,0.809262167,0.775775446,0.865819492,0.795135517,0.719248392,0.758389745,0.810028481,0.82675238,0.834522133,0.68529525,0.714076069,0.824443571,0.840492796
0.320277904,0.297438987,0.340528778,0.255852718,0.195907006,0.33140105,0.46450612,0.205460054,0.160593346,0.224145014,0.383771189,0.248060266,0.264342236,0.401726916,0.40909839
0.457247996,0.729588887,0.706647143,0.64759102,0.658018071,0.65114936,0.526362287,0.636811742,0.608784801,0.698903971,0.837944209,0.760854162,0.73229785,0.761916236,0.726936683
0.568841719,0.579021956,0.638260146,0.64358469,0.4837006,0.60580376,0.685329821,0.570389855,0.461343673,0.569810679,0.639641292,0.539285557,0.540006218,0.664565068,0.744087628
0.022237766,0.118788189,0.281961335,0.471002769,0.351311572,0.406010637,0.241696886,0.507319954,0.13213293,0.282188267,0.448135197,0.371411008,0.334490669,0.602616291,0.444526223
0.38276542,0.715720789,0.835623039,0.825519035,0.856085427,0.399435401,0.491230706,0.782590262,0.705343323,0.835874524,0.676490686,0.465862812,0.529009124,0.827683233,0.815598039
0.389378605,0.406254508,0.530322446,0.456395326,0.558578207,0.474247522,0.242686531,0.473097375,0.393155145,0.437332238,0.509074228,0.411709154,0.401714583,0.489695068,0.478553735
0.498368784,0.792134271,0.758039158,0.825110516,0.665081647,0.834379795,0.691712244,0.72924931,0.635256456,0.798182984,0.814980594,0.745552716,0.769367097,0.857446103,0.83911399
0.178894096,0.406639908,0.465247859,0.411184113,0.370590355,0.432651767,0.399358986,0.323929301,0.186600866,0.207113569,0.495153381,0.434400897,0.359634426,0.523653583,0.560709556
0.819671976,0.756079084,0.797575587,0.670527101,0.890966349,0.772771627,0.003924727,0.811372817,0.612993309,0.748586734,0.713721375,0.767070686,0.78682011,0.740925663,0.703516882
0.615292013,0.537683008,0.57086099,0.603781442,0.584939195,0.549161319,0.821730837,0.489450072,0.617848355,0.687876256,0.559272932,0.607156715,0.46633173,0.676568059,0.649632238
0.849928058,0.615302902,0.845784334,0.563828352,0.82455661,0.692023863,0.797022267,0.659923901,0.585319046,0.661550892,0.759559857,0.561791605,0.612275149,0.69676321,0.715952132
0.198716787,0.676144777,0.288149464,0.586465381,0.479309215,0.46335331,0.356838186,0.401040591,0.723984359,0.677774164,0.730340502,0.795713237,0.717192994,0.67225303,0.560888461
0.613899892,0.671989385,0.483350584,0.697247722,0.536887789,0.734425977,0.571729765,0.454689873,0.649197024,0.604457839,0.645615606,0.505435433,0.442397002,0.680830295,0.69338373
0.597825052,0.87644763,0.667581218,0.744413086,0.835287436,0.702672301,0.347527937,0.469237004,0.675683164,0.749687054,0.700143997,0.76394609,0.798416478,0.844124356,0.733030746
0.424984692,0.399929338,0.575969006,0.48882241,0.501403352,0.490804435,0.461530414,0.248711755,0.538037334,0.489814785,0.544222697,0.519085869,0.542986876,0.562458801,0.512885245
0.562235014,0.335111182,0.212809445,0.487924785,0.256643981,0.44920464,0.01955977,0.526078362,0.332177936,0.400852255,0.453378216,0.302321357,0.3224389,0.451638608,0.563893867
0.321165295,0.479686696,0.561410475,0.383723417,0.486254457,0.425227884,0.30900491,0.599794559,0.454005179,0.526696448,0.526867773,0.416803255,0.39885655,0.435109358,0.365576103
1.90053E-05,0.669539278,0.303996038,0.694063903,0.247634369,0.63477848,0.488593578,0.679090362,0.815222904,0.769652534,0.674393733,0.54214525,0.707771387,0.745819558,0.767415941
0.696787985,0.757239796,0.778056373,0.801347856,0.83734172,0.855617314,0.61137621,0.897135425,0.730651206,0.81612416,0.774909197,0.655875784,0.675069251,0.876030646,0.867839248
